isbn,title,rating_count,reviews,rating_value
Persian,قمار باز,41664,1972,3.88
9645960150,مایده‌های زمینی,2280,163,3.64
Persian,زندگی جنگ و دیگر هیچ,1606,132,4.17
Persian,تلخون: مجموعه قصه,965,48,3.64
Persian,چهار اثر از فلورانس اسکاولشين,2423,219,3.72
9644310128,کتاب مستطاب آشپزی از سیر تا پیاز,489,35,4.37
9644870174,جزیره سرگردانی,1471,77,3.36
Persian,مردان مریخی زنان ونوسی,143926,4910,3.54
Persian,زنده به‌گور,3797,195,3.84
9646071104,من و نازی,884,41,3.74
9643511103,شوهر آهو خانم,1548,102,3.43
9789643414993,كرگدن,8690,324,3.87
9646026435,ایمان بیاوریم به آغازِ فصلِ سرد,3051,71,4.13
9645512182,مرگ یزدگرد,1413,103,4.19
9646174280,در آستانه,710,25,4.16
9646965857,آشنایی قطعه گم شده با دایره بزرگ,11020,533,4.33
Persian,قصه های مجید,2434,84,4.04
Persian,تماماً مخصوص,1231,125,3.72
9789640411438,کافه پیانو,4017,353,2.90
964405167X,خانوم,1717,127,3.84
9643510166,هوای تازه,1845,59,4.20
0802131808,The Blind Owl,15531,1312,3.98
9645858720,اولدوز و عروسک سخنگو,1284,42,3.75
Persian,وانهاده,7130,552,4.00
,Nine Stories,124174,3871,4.19
9646358012,انجمن شاعران مرده,42046,995,4.22
Persian,برهنه‌ها و مرده‌ها,21626,742,3.94
9647772181,مالون می میرد,3225,253,3.87
9645704340,راز داوینچی,1700646,44206,3.82
964564318X,مدار صفر درجه,390,31,3.96
9789641125402,شوخی,23641,990,4.00
1580051545,Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity,5264,444,4.20
0671027387,Deception Point,537145,8585,3.70
,مسخ,509182,13307,3.80
9789643054748,کوری,160120,13134,4.10
9786005941784,نامحرم,19,3,3.21
Persian,تاریکخانه اشباح,313,14,3.30
9786001220043,حقایقی درباره ی یک ماهی مرده,57,5,3.04
9643128431,غرور و تعصب,2523780,55933,4.25
9643055612,تمام زمستان مرا گرم کن,206,24,2.66
9789643620097,سه نمایش نامه,1923,86,4.07
Persian,تهران شهر بی‌آسمان,283,57,2.88
9643373770,طوفان دیگری در راه است,454,52,3.09
0385537859,Inferno,407988,35576,3.83
9643621685,گل صحرا,15550,971,4.12
0099437597,In Watermelon Sugar,11105,771,4.02
9789644183225,زمستان ۶۲,646,35,3.74
9643625801,کتاب آذر,34,2,2.32
9644480260,(جنگ و صلح (دوره‌ی ٢ جلدی,231436,9551,4.10
9789643626518,هاگاکوره: کتاب سامورایی,11351,472,4.07
1580052576,Yes Means Yes!: Visions of Female Sexual Power and A World Without Rape,4575,257,4.18
0385504225,The Lost Symbol,461288,25700,3.69
Persian,هرگز، مگو هرگز,96,13,3.59
9644719441,سفر به گرای 270 درجه,465,51,3.57
9780110133874,تریسترام شندی,17700,1088,3.74
Persian,برادران کارامازوف,202453,9022,4.32
9646200508,سه کتاب,86,3,4.12
0096456436,غریبه ها و پسرک بومی,129,14,3.53
9648223203,آذر، ماهِ آخرِ پاییز,366,27,3.33
9642090686,کنستانسیا,378,66,3.62
9786002290199,من منچستریونایتد را دوست دارم,285,61,3.21
9643372979,غیرقابل چاپ,532,36,3.10
Persian,موبی دیک یا وال سفید,438253,13102,3.49
0671252410,A Man,2979,218,4.32
964329014X,درگریز گم می‌شویم,34,5,4.06
9786009158522,هر روز زاده میشوم: گفت‌وگو با محمود درویش و گزیدۀ اشعارش,117,9,4.27
9789643623845,مردی که گورش گم شد,480,31,3.12
Persian,شاهزاده‌ی بی‌تاج و تخت زیرزمین,9,1,3.22
9649547703,داش‌ آکل,3935,118,3.74
964638031x,شوایک سرباز پاک دل,12927,777,4.11
English,An American in Vienna,14,4,4.00
Persian,گذران روز,159,22,3.62
Persian,صد ليکو,38,8,3.87
1600964338,The Death of Ivan Ilych,70397,3722,4.06
Persian,هنر داستان‌نویسی: با نمونه‌هایی از متن‌های کلاسیک و مدرن,2003,154,3.93
Persian,جنس ضعیف,1475,156,3.74
9188296326,بوف کور,15531,1312,3.98
0679720227,The Fall,58543,2434,4.06
9643626112,بهار ۶۳,203,28,2.69
9646742521,الیور تویست,282486,6301,3.86
9789644481345,محاکمه,192041,5921,3.98
9643803018,تاریخ شفاهی ادبیات معاصر ایران: نصرت رحمانی,14,4,3.43
9786002293640,تاول,36,6,2.97
9643806162,آدلف,1639,151,3.53
9789646205376,چرم ساغری,4906,250,3.84
9789642090976,قلب سگی,32217,1490,4.14
9646001192074,مامان و معنی زندگی: داستان‌های روان درمانی,4192,214,4.03
0140621679,The Wonderful Wizard of Oz,316972,10491,3.99
Multiple languages,گرگی در کمین,139,24,3.78
9645600723,حماسه حسینی 1,664,84,3.95
9789646207097,مثنوی معنوی,3497,180,4.44
9647775229,گیل گمش,70637,3379,3.67
B013OB9MZ0,Encheiridion,10142,864,4.22
Persian,دیوار,18182,560,4.08
Persian,منم تیمور جهانگشا,214,11,3.60
Persian,ْغرور و تعصُّب,2523780,55933,4.25
9780991896,نگاهی به شاه,714,87,4.17
Persian,انسان كامل,491,44,3.80
9642090597,موش‌ها و آدم‌ها,1700928,29070,3.86
Persian,لب بر تیغ,176,17,2.41
,راما 2,20017,570,3.67
Persian,رد پروانه,3829,507,4.06
9789644482220,زن در ریگ روان,17299,1299,3.91
9643622770,شب‌های چهارشنبه,109,20,3.17
9786009423033,یاکوب فون گونتن,3232,318,4.00
Persian,بیشعوری، راهنمای تشخیص و درمان خطرناکترین بیماری تاریخ بشریت,2481,313,3.04
Multiple languages,مجموعه کامل اشعار,661,26,3.96
9789643623500,بازی عروس و داماد,549,31,2.96
